quality,bits,intra_parts,skip_parts,inter_16x16_parts,inter_4x4_parts,inter_other_parts,non_zero_pixels,frame_width,frame_height,movement_level,mean,sub_mean_1,sub_mean_2,sub_mean_3,sub_mean_4,var_sub_blocks,sobel_h,sobel_v,variance,block_movement_h,block_movement_v,var_movement_h,var_movement_v,cost_1,cost_2,relevant
22,31,0,0,3,0,2,0,416,240,56170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.125000,1.375000,7.859375,1.734375,2121.000000,2751.000000,1
22,3385,16,0,0,6,8,597,416,240,56170,15.789062,16.605469,21.101562,18.437500,7.011719,28.236298,36.641602,47.411133,387.076599,12.390625,11.367188,4039.691162,3907.044922,3016.000000,30569.000000,1
22,99,0,2,1,6,4,5,416,240,56170,0.056641,0.000000,0.226562,0.000000,0.000000,0.009624,1.434570,0.372070,0.387417,1.281250,0.953125,4.295898,2.419678,6739.000000,2108.000000,1
22,514,0,0,1,9,9,70,416,240,56170,1.011719,0.000000,1.730469,0.406250,1.910156,0.678490,3.912109,3.244141,7.201035,1.234375,1.226562,2.804443,1.893982,2042.000000,8159.000000,1
22,524,0,0,2,0,4,102,416,240,56170,1.733398,0.000000,0.835938,0.000000,6.097656,6.465381,4.657227,5.456055,20.705292,1.062500,1.750000,0.558594,1.312500,2647.000000,8035.000000,1
22,1641,0,1,1,0,4,351,416,240,56170,4.670898,3.457031,2.722656,8.160156,4.343750,4.387767,10.616211,13.020508,71.644623,2.500000,1.687500,2.250000,1.214844,17627.000000,19363.000000,1
22,1101,0,0,1,0,10,212,416,240,71334,2.810547,0.945312,3.285156,1.328125,5.683594,3.539082,8.656250,7.630859,24.598873,4.640625,5.156250,19.230225,17.756836,6744.000000,4443.000000,1
22,1878,0,0,0,6,14,339,416,240,71334,5.041016,5.187500,3.132812,8.023438,3.820312,3.511913,14.382812,12.382812,71.992462,4.437500,5.398438,12.496094,18.708435,17729.000000,17605.000000,1
22,1438,0,0,2,12,6,317,416,240,71334,4.344727,2.675781,1.933594,,6.972656,4.403422,12.923828,9.837891,79.968079,2.015625,3.281250,5.796631,15.264648,8481.000000,9675.000000,1
22,1998,0,0,0,3,26,364,416,240,71334,5.805664,7.066406,4.742188,,7.253906,1.881389,14.852539,19.500977,72.066727,3.312500,5.640625,27.292969,94.667725,20898.000000,23124.000000,1
22,178,0,1,0,0,6,13,416,240,71334,0.236328,0.390625,0.000000,0.292969,0.261719,0.020878,0.919922,1.275391,1.213680,1.875000,3.812500,20.234375,28.777344,25433.000000,26766.000000,1
22,547,0,0,1,3,8,98,416,240,71334,1.407227,0.000000,1.316406,0.312500,4.000000,2.477359,3.758789,4.258789,11.452331,0.406250,4.500000,0.366211,14.875000,17865.000000,18101.000000,1
22,452,0,1,1,9,4,65,416,240,71334,0.864258,0.359375,0.515625,0.421875,2.160156,0.562877,2.502930,2.743164,9.222785,1.000000,2.828125,2.937500,24.829834,5078.000000,7681.000000,1
22,1645,0,0,0,9,17,328,416,240,71334,4.593750,7.687500,4.804688,2.457031,3.425781,3.886375,12.031250,12.566406,52.512695,4.171875,3.179688,21.845459,12.725525,17333.000000,18571.000000,1
22,694,0,1,1,0,12,128,416,240,71334,1.780273,0.000000,4.351562,0.000000,2.769531,3.482226,5.012695,5.333008,19.271057,3.593750,3.343750,26.147461,23.631836,12066.000000,13172.000000,1
22,921,0,0,0,12,15,158,416,240,71334,2.026367,3.843750,1.925781,1.960938,0.375000,1.511073,5.286133,6.303711,16.750282,2.632812,3.734375,12.826111,31.054443,22603.000000,23833.000000,1
22,367,0,2,0,3,6,47,416,240,71334,0.835938,2.062500,0.000000,1.281250,0.000000,0.775085,3.242188,2.046875,8.516052,2.296875,3.867188,26.099365,53.615173,2397.000000,2527.000000,1
22,436,0,0,2,3,6,70,416,240,71334,0.882812,1.500000,0.000000,2.031250,0.000000,0.814636,3.551758,2.538086,4.843689,0.843750,5.875000,0.897461,32.671875,9130.000000,11545.000000,1
22,1288,0,0,0,6,17,260,416,240,71334,3.418945,3.519531,4.796875,2.660156,2.699219,0.750644,9.807617,10.854492,28.745384,0.648438,3.765625,0.837341,19.179443,13976.000000,15066.000000,1
